Dish_Name,Ingredients,Keywords,Calories,Protein,Fiber
Kadai Paneer,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",474.54,22.88,4.31
Medu Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",455.4,14.14,3.48
Samosa ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",191.57,6.5,7.28
Masoor Dal ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",432.36,29.09,2.21
Baingan Bharta ,"green gram, spices, ginger","green gram, spices, ginger",272.06,15.49,3.15
Palak Paneer ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",262.11,24.94,9.72
Pani Puri ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",168.22,19.99,9.34
Pav Bhaji ,"rice, lentils, vegetables","vegetables, lentils, rice",389.5,7.47,5.63
Vada ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",294.81,5.53,8.47
Mutton Rogan Josh ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",389.87,27.52,3.39
Idli ,"okra, onion, spices, oil","onion, oil, spices, okra",210.95,23.35,1.22
Upma ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",285.29,15.15,9.08
Masoor Dal ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",451.78,20,3.14
Pani Puri ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",382.14,10.44,9.08
Pani Puri ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",155.21,12.48,7.97
Rajma Chawal ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",156.15,15.27,9.12
Vegetable Biryani ,"lentils, spices, rice flour","lentils, spices, rice flour",338.27,17.6,7.22
Vada ,"vegetables, spices, rice","vegetables, spices, rice",320.77,13.18,8.82
Chicken Curry ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",371.02,20.18,7.32
Mutton Rogan Josh ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",583.11,18.03,9.22
Palak Paneer ,"okra, onion, spices, oil","onion, oil, spices, okra",374.45,5.32,6.01
Pav Bhaji ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",597.18,11.96,5.65
Masoor Dal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",567.74,9.06,5.93
Poha ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",515.79,23.2,3.58
